id,source,date,rating,text,author,url,scraped_at
app_store_14361800158,app_store,2026-07-29T02:45:42-07:00,2,"Worst customer support. Pathetic cuatomer support experience, they just won’t reply, you keep on waiting..
Very bad experience..
On top of that they do not have phone number",Hiral QUEEN,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14361707207,app_store,2026-07-29T02:08:44-07:00,5,Best Home Delivery Service. Keep Consistency of operating and dont be invisible time and again,ajaywwics,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14361703821,app_store,2026-07-29T02:07:20-07:00,5,Very good service. Very good service,Kitiul,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14361693393,app_store,2026-07-29T02:03:05-07:00,5,Vegetable. Superb,Boyz_2024,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14361673785,app_store,2026-07-29T01:55:07-07:00,1,Used product. I have recieved a shampoo of mama earth was contain half bottle the packing was at a bad condition and the support system isn’t responding 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡i want replacement or refund now,Bad service&products,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14361617985,app_store,2026-07-29T01:32:22-07:00,1,Upi order. I ordered my items through upi that day and due to flood the order was cancelled and till now I haven’t got my refund yet this is so bad and disappointing. Pls solve in this case and also put human customer care service this needs to be fixed immediately,Gaishinglu,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14361579275,app_store,2026-07-29T01:16:19-07:00,5,Blinkit service. The store is always bringing up new stuff and response rapidly and i have enjoying there services since more than a year,Ali tank,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14361552979,app_store,2026-07-29T01:05:30-07:00,5,Fast service. Fast service,Khara bolto bhau,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14361528727,app_store,2026-07-29T00:55:12-07:00,5,Mast app!. very useful,Himporna,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14361486753,app_store,2026-07-29T00:37:36-07:00,5,Delivery. Fast delivery,SowraSai,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14361368901,app_store,2026-07-28T23:47:40-07:00,2,"Prices are never competitive. Late deliveries. Poor packg - torn, dropped, Stale or damaged stuff.. Off late been rcvg late delivery with very pooor packaging. Cans and drinks delivered damaged usually and paper bags torn always",FoodieKalBil,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14361346808,app_store,2026-07-28T23:38:09-07:00,4,good. best on time,drparth@,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14361155125,app_store,2026-07-28T22:15:58-07:00,1,"Kindly stop providing with short expiry products. Times I have noticed many of times that credits which are expensive and less demanding are always near to short expiry.
And product are also not cleaned before the supply. We could see some things soil, and I tried to complain it, but they ignored",Sangeet ak,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14361137809,app_store,2026-07-28T22:08:38-07:00,5,Very good products. Always fresh vegetables,PAAKHI1993,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14361129743,app_store,2026-07-28T22:05:15-07:00,5,BHARAT PATEL. Best service fast delivery,Bharat Lunagariya,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14360907454,app_store,2026-07-28T20:33:05-07:00,4,Coupon could not be used. The Rs 50 off on first order at Blinkit could not be materialised,BalaniV,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14360867854,app_store,2026-07-28T20:17:29-07:00,2,No offers. No rewards,Nogiftsback,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14360842576,app_store,2026-07-28T20:07:58-07:00,5,"Excellent work. Timely delivery, availability of all products, promptly processed. Best service provided by Blinkit always. Keep it up. Thank you",Dr K U,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14360721372,app_store,2026-07-28T19:21:59-07:00,2,No sense of handling charges. No sense of handling charges,Areeennghhnn,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14360696593,app_store,2026-07-28T19:12:42-07:00,5,Worry-Not. Available at a genuine price.Not worried about bargaining. Now domestic help is free from this duty. My wife is now doing the daily purchases. It has allayed the fear of threats from bad domestic help,Singh_jpn,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14360531307,app_store,2026-07-28T18:11:38-07:00,1,Extra charges. Stop taking 9 rupees in every delivery just the name of handling charge,Boney..,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14360522350,app_store,2026-07-28T18:08:21-07:00,1,Worst delivery sometimes. Some delivery partners are smart while some are dumbs. On that your customer service tells to go out on the road search him and collect the order,pallavi shrivastava,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14359987196,app_store,2026-07-28T14:42:39-07:00,1,Too costly. Costly,Deepranhotra,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14359898291,app_store,2026-07-28T14:10:01-07:00,1,"Coupons. I’m disappointed that there are very few or no coupons available while placing orders. Many other food delivery platforms regularly provide discounts and promo codes, but Swiggy often doesn’t have any applicable offers for my orders.

I request you to provide more coupons and better discounts for regular customers, as this would make using the app more affordable and rewarding.

Thank you",rashith786,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14359886853,app_store,2026-07-28T14:05:52-07:00,5,Awesome. Blinkit is Awesome,Pacer worth,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14359729016,app_store,2026-07-28T13:10:02-07:00,5,Time. Always on time and quality is so good saves time a lot,Vahakskshaha,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14359728843,app_store,2026-07-28T13:09:58-07:00,1,"Scrolling glitch all time. When I search something and scroll after few items it starts behaving very bad glitch like scroll
it goes like infinite and then stops it is irritating.
please fix this",Karan_Hi,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14359688734,app_store,2026-07-28T12:56:14-07:00,5,nic service. good,amitkumra,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14359679060,app_store,2026-07-28T12:52:52-07:00,5,Best sarvice. 5 star,Bhupesh patidar,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14359456654,app_store,2026-07-28T11:38:44-07:00,1,Worst app. Last time when i order a medicine the delivery boy was lost and let me cancel the order but i dont get any refund when it is said refunded and the second time i got my chicken drumsticks all bad and smelly complait but no action .The worst app ever never using angain,lungtrau,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14359275508,app_store,2026-07-28T10:40:32-07:00,4,Fee. Why do you charge a handling fee ?,CAbcycuchcu,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14359221554,app_store,2026-07-28T10:23:50-07:00,5,Good. Very good invention about this app,Abhishek Kale 222,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14359197287,app_store,2026-07-28T10:16:20-07:00,5,Nice. App,Humdardn,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14359181470,app_store,2026-07-28T10:11:25-07:00,5,Imam. Very convenient and easy,mohammad imam,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14359159140,app_store,2026-07-28T10:04:34-07:00,1,THE SYSTEM FOR RETURN AND REPLACE YOU PRODUCT IS WORST IN THIS SEGMENT. Such a terrible thing to know they are not ready to support the customer anyways. I ll recommend to use Swiggy instamart for better customer support,J_Arora,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
